#MAP=belgium_and_south_holland
Y=51.2499300;X=3.8928600;A=500.0;S=135.0;
Y=51.2500233;X=3.8924767;A=502.0;S=135.0;
Y=51.2501166;X=3.8920934;A=504.1;S=135.0;
Y=51.2502097;X=3.8917102;A=506.2;S=135.0;
Y=51.2503025;X=3.8913269;A=508.3;S=135.0;
Y=51.2503948;X=3.8909436;A=510.5;S=135.0;
Y=51.2504867;X=3.8905603;A=512.7;S=135.0;
Y=51.2505778;X=3.8901771;A=515.0;S=135.0;
Y=51.2506682;X=3.8897938;A=517.2;S=135.0;
Y=51.2507576;X=3.8894105;A=519.6;S=135.0;
Y=51.2508461;X=3.8890272;A=521.9;S=135.0;
Y=51.2509334;X=3.8886439;A=524.3;S=135.0;
Y=51.2510194;X=3.8882607;A=526.7;S=135.0;
Y=51.2511041;X=3.8878774;A=529.1;S=135.0;
Y=51.2511873;X=3.8874941;A=531.6;S=135.0;
Y=51.2512689;X=3.8871108;A=534.1;S=135.0;
Y=51.2513489;X=3.8867275;A=536.6;S=135.0;
Y=51.2514270;X=3.8863443;A=539.2;S=135.0;
Y=51.2515033;X=3.8859610;A=541.8;S=135.0;
Y=51.2515775;X=3.8855777;A=544.4;S=135.0;
Y=51.2516496;X=3.8851944;A=547.0;S=135.0;
Y=51.2517196;X=3.8848111;A=549.7;S=135.0;
Y=51.2517872;X=3.8844278;A=552.4;S=135.0;
Y=51.2518525;X=3.8840445;A=555.1;S=135.0;
Y=51.2519153;X=3.8836613;A=557.8;S=135.0;
Y=51.2519755;X=3.8832780;A=560.6;S=135.0;
Y=51.2520331;X=3.8828947;A=563.4;S=135.0;
Y=51.2520880;X=3.8825114;A=566.2;S=135.0;
Y=51.2521402;X=3.8821281;A=569.0;S=135.0;
Y=51.2521894;X=3.8817448;A=571.9;S=135.0;
Y=51.2522357;X=3.8813615;A=574.8;S=135.0;
Y=51.2522791;X=3.8809783;A=577.6;S=135.0;
Y=51.2523193;X=3.8805950;A=580.5;S=135.0;
Y=51.2523565;X=3.8802117;A=583.5;S=135.0;
Y=51.2523905;X=3.8798284;A=586.4;S=135.0;
Y=51.2524213;X=3.8794451;A=589.3;S=135.0;
Y=51.2524488;X=3.8790618;A=592.3;S=135.0;
Y=51.2524731;X=3.8786785;A=595.2;S=135.0;
Y=51.2524940;X=3.8782952;A=598.2;S=135.0;
Y=51.2525115;X=3.8779119;A=601.2;S=135.0;
Y=51.2525256;X=3.8775287;A=604.2;S=135.0;
Y=51.2525363;X=3.8771454;A=607.2;S=135.0;
Y=51.2525436;X=3.8767621;A=610.1;S=135.0;
Y=51.2525474;X=3.8763788;A=613.1;S=135.0;
Y=51.2525477;X=3.8759955;A=616.1;S=135.0;
Y=51.2525445;X=3.8756122;A=619.1;S=135.0;
Y=51.2525378;X=3.8752289;A=622.1;S=135.0;
Y=51.2525277;X=3.8748456;A=625.1;S=135.0;
Y=51.2525140;X=3.8744623;A=628.1;S=135.0;
Y=51.2524969;X=3.8740791;A=631.1;S=135.0;
Y=51.2524763;X=3.8736958;A=634.1;S=135.0;
Y=51.2524523;X=3.8733125;A=637.1;S=135.0;
Y=51.2524248;X=3.8729292;A=640.1;S=135.0;
Y=51.2523940;X=3.8725459;A=643.0;S=135.0;
Y=51.2523598;X=3.8721626;A=646.0;S=135.0;
Y=51.2523222;X=3.8717793;A=648.9;S=135.0;
Y=51.2522813;X=3.8713960;A=651.8;S=135.0;
Y=51.2522372;X=3.8710127;A=654.8;S=135.0;
Y=51.2521898;X=3.8706295;A=657.7;S=135.0;
Y=51.2521393;X=3.8702462;A=660.5;S=135.0;
Y=51.2520857;X=3.8698629;A=663.4;S=135.0;
Y=51.2520291;X=3.8694796;A=666.2;S=135.0;
Y=51.2519694;X=3.8690963;A=669.1;S=135.0;
Y=51.2519068;X=3.8687130;A=671.9;S=135.0;
Y=51.2518414;X=3.8683297;A=674.7;S=135.0;
Y=51.2517731;X=3.8679464;A=677.4;S=135.0;
Y=51.2517022;X=3.8675632;A=680.2;S=135.0;
Y=51.2516286;X=3.8671799;A=682.9;S=135.0;
Y=51.2515525;X=3.8667966;A=685.6;S=135.0;
Y=51.2514739;X=3.8664133;A=688.3;S=135.0;
Y=51.2513929;X=3.8660300;A=690.9;S=135.0;
Y=51.2513096;X=3.8656467;A=693.5;S=135.0;
Y=51.2512242;X=3.8652635;A=696.1;S=135.0;
Y=51.2511366;X=3.8648802;A=698.7;S=135.0;
Y=51.2510470;X=3.8644969;A=701.2;S=135.0;
Y=51.2509556;X=3.8641136;A=703.7;S=135.0;
Y=51.2508623;X=3.8637303;A=706.2;S=135.0;
Y=51.2507673;X=3.8633471;A=708.6;S=135.0;
Y=51.2506708;X=3.8629638;A=711.0;S=135.0;
Y=51.2505728;X=3.8625805;A=713.4;S=135.0;
Y=51.2504734;X=3.8621972;A=715.7;S=135.0;
Y=51.2503727;X=3.8618139;A=718.0;S=135.0;
Y=51.2502710;X=3.8614307;A=720.3;S=135.0;
Y=51.2501682;X=3.8610474;A=722.6;S=135.0;
Y=51.2500645;X=3.8606641;A=724.8;S=135.0;
Y=51.2499600;X=3.8602808;A=726.9;S=135.0;
Y=51.2498548;X=3.8598976;A=729.1;S=135.0;
Y=51.2497491;X=3.8595143;A=731.2;S=135.0;
Y=51.2496430;X=3.8591310;A=733.3;S=135.0;
Y=51.2495366;X=3.8587477;A=735.3;S=135.0;
Y=51.2494300;X=3.8583645;A=737.3;S=135.0;
Y=51.2493233;X=3.8579812;A=739.3;S=135.0;
Y=51.2492167;X=3.8575979;A=741.2;S=135.0;
Y=51.2491103;X=3.8572146;A=743.1;S=135.0;
Y=51.2490042;X=3.8568314;A=744.9;S=135.0;
Y=51.2488985;X=3.8564481;A=746.8;S=135.0;
Y=51.2487933;X=3.8560648;A=748.6;S=135.0;
Y=51.2486889;X=3.8556816;A=750.3;S=135.0;
Y=51.2485852;X=3.8552983;A=752.0;S=135.0;
Y=51.2484824;X=3.8549150;A=753.7;S=135.0;
Y=51.2483806;X=3.8545318;A=755.4;S=135.0;
Y=51.2482800;X=3.8541485;A=757.0;S=135.0;
Y=51.2481806;X=3.8537652;A=758.6;S=135.0;
Y=51.2480826;X=3.8533820;A=760.2;S=135.0;
Y=51.2479860;X=3.8529987;A=761.7;S=135.0;
Y=51.2478911;X=3.8526154;A=763.2;S=135.0;
Y=51.2477978;X=3.8522322;A=764.7;S=135.0;
Y=51.2477063;X=3.8518489;A=766.1;S=135.0;
Y=51.2476167;X=3.8514656;A=767.5;S=135.0;
Y=51.2475292;X=3.8510824;A=768.9;S=135.0;
Y=51.2474437;X=3.8506991;A=770.3;S=135.0;
Y=51.2473604;X=3.8503159;A=771.6;S=135.0;
Y=51.2472795;X=3.8499326;A=772.9;S=135.0;
Y=51.2472009;X=3.8495493;A=774.2;S=135.0;
Y=51.2471247;X=3.8491661;A=775.4;S=135.0;
Y=51.2470511;X=3.8487828;A=776.7;S=135.0;
Y=51.2469802;X=3.8483996;A=777.9;S=135.0;
Y=51.2469120;X=3.8480163;A=779.1;S=135.0;
Y=51.2468465;X=3.8476330;A=780.2;S=135.0;
Y=51.2467839;X=3.8472498;A=781.4;S=135.0;
Y=51.2467243;X=3.8468665;A=782.5;S=135.0;
